,id_cryptopunk,bids,for_sale,attribute,amount,amount_dols,date,tipo,tr_type
1843,5465,0,1,Shaved Head,420.0,1020000.0,2022-01-25,Male,Offered
1844,5468,0,1,Clown Eyes Blue,160.0,609253.0,2021-09-03,Female,Offered
1845,5468,0,1,Wild Hair,160.0,609253.0,2021-09-03,Female,Offered
1846,5468,0,1,Purple Lipstick,160.0,609253.0,2021-09-03,Female,Offered
1847,5492,0,1,Rosy Cheeks,175.0,824595.0,2021-11-11,Female,Offered
1848,5492,0,1,Frumpy Hair,175.0,824595.0,2021-11-11,Female,Offered
1849,5526,0,1,Gold Chain,160.0,381491.0,2022-01-23,Male,Offered
1850,5526,0,1,Cap Forward,160.0,381491.0,2022-01-23,Male,Offered
1851,5526,0,1,Mole,160.0,381491.0,2022-01-23,Male,Offered
1852,5526,0,1,Cigarette,160.0,381491.0,2022-01-23,Male,Offered
1853,5555,0,1,Messy Hair,555.5,2450000.0,2021-12-07,Male,Offered
1854,5555,0,1,Cigarette,555.5,2450000.0,2021-12-07,Male,Offered
1855,5555,0,1,VR,555.5,2450000.0,2021-12-07,Male,Offered
1856,5566,0,1,Classic Shades,269.69,961990.0,2021-10-06,Female,Offered
1857,5566,0,1,Black Lipstick,269.69,961990.0,2021-10-06,Female,Offered
1858,5566,0,1,Straight Hair,269.69,961990.0,2021-10-06,Female,Offered
1859,5577,1,1,Cowboy Hat,0.0,0.0,2022-01-11,Ape,Offered
1860,5579,1,1,Mustache,166.0,529251.0,2021-08-30,Male,Offered
1861,5579,1,1,Messy Hair,166.0,529251.0,2021-08-30,Male,Offered
1862,5581,0,1,Bandana,110.11,269720.0,2022-01-26,Male,Offered
1863,5581,0,1,Mustache,110.11,269720.0,2022-01-26,Male,Offered
1864,5586,0,1,Gold Chain,124.95,307342.0,2022-01-26,Male,Offered
1865,5586,0,1,Headband,124.95,307342.0,2022-01-26,Male,Offered
1866,5586,0,1,Classic Shades,124.95,307342.0,2022-01-26,Male,Offered
1867,5594,0,1,Messy Hair,95.0,435356.0,2021-11-30,Female,Offered
1868,5594,0,1,Green Eye Shadow,95.0,435356.0,2021-11-30,Female,Offered
1869,5611,0,1,Mohawk Dark,99.0,475062.0,2021-11-09,Female,Offered
1870,5611,0,1,Horned Rim Glasses,99.0,475062.0,2021-11-09,Female,Offered
1871,5614,0,1,Frown,95.0,231369.0,2022-01-25,Male,Offered
1872,5614,0,1,Earring,95.0,231369.0,2022-01-25,Male,Offered
1873,5614,0,1,Mohawk Thin,95.0,231369.0,2022-01-25,Male,Offered
1874,5620,0,1,Bandana,95.0,230361.0,2022-01-23,Female,Offered
1875,5620,0,1,Hot Lipstick,95.0,230361.0,2022-01-23,Female,Offered
1876,5620,0,1,Blue Eye Shadow,95.0,230361.0,2022-01-23,Female,Offered
1877,5627,0,1,3D Glasses,450.0,1490000.0,2021-09-11,Male,Offered
1878,5627,0,1,Wild Hair,450.0,1490000.0,2021-09-11,Male,Offered
1879,5630,1,1,Earring,307.0,1410000.0,2021-11-10,Male,Offered
1880,5630,1,1,Messy Hair,307.0,1410000.0,2021-11-10,Male,Offered
1881,5634,1,1,Messy Hair,400.0,1300000.0,2021-08-28,Male,Offered
1882,5634,1,1,Shadow Beard,400.0,1300000.0,2021-08-28,Male,Offered
1883,5634,1,1,Earring,400.0,1300000.0,2021-08-28,Male,Offered
1884,5656,1,1,Clown Hair Green,175.0,719355.0,2021-12-05,Male,Offered
1885,5656,1,1,Silver Chain,175.0,719355.0,2021-12-05,Male,Offered
1886,5656,1,1,Medical Mask,175.0,719355.0,2021-12-05,Male,Offered
1887,5659,0,1,Fedora,150.0,453817.0,2022-01-10,Male,Offered
1888,5659,0,1,Smile,150.0,453817.0,2022-01-10,Male,Offered
1889,5659,0,1,Big Shades,150.0,453817.0,2022-01-10,Male,Offered
1890,5659,0,1,Mole,150.0,453817.0,2022-01-10,Male,Offered
1891,5662,0,1,Gold Chain,161.69,689095.0,2021-11-18,Male,Offered
1892,5662,0,1,Shaved Head,161.69,689095.0,2021-11-18,Male,Offered
1893,5662,0,1,Horned Rim Glasses,161.69,689095.0,2021-11-18,Male,Offered
1894,5671,0,1,Goat,420.69,1550000.0,2021-12-31,Male,Offered
1895,5671,0,1,Crazy Hair,420.69,1550000.0,2021-12-31,Male,Offered
1896,5672,0,1,Mohawk,199.0,670367.0,2021-10-04,Female,Offered
1897,5672,0,1,Mole,199.0,670367.0,2021-10-04,Female,Offered
1898,5672,0,1,Purple Lipstick,199.0,670367.0,2021-10-04,Female,Offered
1899,5676,0,1,Cap,999.0,3210000.0,2021-08-31,Male,Offered
1900,5676,0,1,Big Shades,999.0,3210000.0,2021-08-31,Male,Offered
1901,5676,0,1,Mole,999.0,3210000.0,2021-08-31,Male,Offered
1902,5678,0,1,Classic Shades,0.0,0.0,2021-06-04,Male,Offered
1903,5678,0,1,Normal Beard,0.0,0.0,2021-06-04,Male,Offered
1904,5678,0,1,Cap,0.0,0.0,2021-06-04,Male,Offered
1905,5680,0,1,Crazy Hair,140.0,349189.0,2022-01-25,Male,Offered
1906,5680,0,1,Medical Mask,140.0,349189.0,2022-01-25,Male,Offered
1907,5680,0,1,Handlebars,140.0,349189.0,2022-01-25,Male,Offered
1908,5686,0,1,Purple Hair,99.0,246927.0,2022-01-25,Male,Offered
1909,5686,0,1,Handlebars,99.0,246927.0,2022-01-25,Male,Offered
1910,5705,0,1,Cap,175.0,707992.0,2021-11-27,Male,Offered
1911,5705,0,1,Classic Shades,175.0,707992.0,2021-11-27,Male,Offered
1912,5717,0,1,Vape,106.9,470622.0,2021-12-07,Female,Offered
1913,5717,0,1,Bandana,106.9,470622.0,2021-12-07,Female,Offered
1914,5721,0,1,Hot Lipstick,500.0,1610000.0,2021-08-28,Female,Offered
1915,5721,0,1,Pigtails,500.0,1610000.0,2021-08-28,Female,Offered
1916,5721,0,1,Spots,500.0,1610000.0,2021-08-28,Female,Offered
1917,5721,0,1,Vape,500.0,1610000.0,2021-08-28,Female,Offered
1918,5726,0,1,Earring,130.0,583110.0,2021-11-02,Male,Offered
1919,5726,0,1,Clown Hair Green,130.0,583110.0,2021-11-02,Male,Offered
1920,5726,0,1,Mustache,130.0,583110.0,2021-11-02,Male,Offered
1921,5736,0,1,Cigarette,196.24,804168.0,2021-10-24,Male,Offered
1922,5736,0,1,Smile,196.24,804168.0,2021-10-24,Male,Offered
1923,5736,0,1,Peak Spike,196.24,804168.0,2021-10-24,Male,Offered
1924,5736,0,1,Small Shades,196.24,804168.0,2021-10-24,Male,Offered
1925,5745,0,1,Spots,135.0,623352.0,2021-11-03,Female,Offered
1926,5745,0,1,Blonde Short,135.0,623352.0,2021-11-03,Female,Offered
1927,5754,0,1,Gold Chain,777.0,2420000.0,2021-08-27,Male,Offered
1928,5754,0,1,Front Beard Dark,777.0,2420000.0,2021-08-27,Male,Offered
1929,5754,0,1,Do-rag,777.0,2420000.0,2021-08-27,Male,Offered
1930,5754,0,1,Regular Shades,777.0,2420000.0,2021-08-27,Male,Offered
1931,5756,0,1,Normal Beard Black,225.0,761609.0,2021-09-15,Male,Offered
1932,5756,0,1,Mohawk Dark,225.0,761609.0,2021-09-15,Male,Offered
1933,5762,0,1,Headband,125.0,304772.0,2022-01-25,Male,Offered
1934,5762,0,1,Regular Shades,125.0,304772.0,2022-01-25,Male,Offered
1935,5766,1,1,Mohawk,76.68,185148.0,2022-01-25,Female,Offered
1936,5766,1,1,Black Lipstick,76.68,185148.0,2022-01-25,Female,Offered
1937,5766,1,1,Green Eye Shadow,76.68,185148.0,2022-01-25,Female,Offered
1938,5767,0,1,Purple Hair,129.95,316841.0,2022-01-25,Male,Offered
1939,5767,0,1,Luxurious Beard,129.95,316841.0,2022-01-25,Male,Offered
1940,5767,0,1,Mole,129.95,316841.0,2022-01-25,Male,Offered
1941,5773,0,1,Vape,150.0,371845.0,2022-01-25,Male,Offered
1942,5773,0,1,Mohawk Thin,150.0,371845.0,2022-01-25,Male,Offered
1943,5782,0,1,Vampire Hair,298.75,966594.0,2021-08-28,Male,Offered
1944,5782,0,1,Normal Beard,298.75,966594.0,2021-08-28,Male,Offered
1945,5782,0,1,VR,298.75,966594.0,2021-08-28,Male,Offered
1946,5782,0,1,Earring,298.75,966594.0,2021-08-28,Male,Offered
