,amount,amount_dols,date,id_cryptopunk,tipo,tr_type
36081,29.0,9957.0,2020-09-22,5426,Female,Offered
36115,100.0,321066.0,2022-01-08,5427,Male,Offered
36134,42.0,136140.0,2021-08-15,5428,Male,Offered
36151,14.49,18855.0,2021-01-21,5429,Female,Offered
36165,144.99,471399.0,2021-08-28,5430,Male,Offered
36189,75.0,235288.0,2022-01-09,5431,Female,Offered
36195,50.0,93952.0,2021-03-14,5433,Male,Offered
36198,68.0,222979.0,2021-08-21,5434,Male,Offered
36202,21.5,37319.0,2021-03-08,5435,Male,Offered
36206,200.0,398404.0,2021-04-02,5437,Male,Offered
36212,117.0,379541.0,2021-08-28,5438,Female,Offered
36217,124.69,445756.0,2021-10-07,5439,Male,Offered
36225,148.0,483816.0,2021-08-27,5440,Male,Offered
36228,25.0,86707.0,2021-05-06,5441,Female,Offered
36246,75.0,252298.0,2022-01-12,5443,Male,Offered
36266,140.0,340610.0,2022-01-24,5444,Male,Offered
36273,0.23,21.0,2018-12-08,5445,Male,Offered
36304,288.0,752656.0,2022-01-26,5447,Male,Offered
36305,145.0,462982.0,2021-08-25,5448,Male,Offered
36310,0.19,97.0,2018-04-16,5449,Female,Offered
36311,14.75,38444.0,2021-06-01,5450,Male,Offered
36313,1.99,406.0,2020-05-25,5452,Male,Offered
36317,420.0,1340000.0,2021-08-16,5453,Male,Offered
36318,540.0,132662.0,2017-07-08,5454,Male,Offered
36364,69.95,213977.0,2022-01-10,5455,Male,Offered
36368,17.0,29479.0,2021-06-22,5456,Male,Offered
36369,29.5,61698.0,2021-06-28,5457,Female,Offered
36377,16.75,40460.0,2021-06-13,5458,Male,Offered
36379,20.25,49968.0,2021-04-15,5461,Female,Offered
36392,0.0,0.0,2021-08-02,5462,Female,Offered
36408,250.0,923955.0,2022-01-03,5463,Male,Offered
36411,250.0,452015.0,2021-06-25,5464,Male,Offered
36425,420.0,1020000.0,2022-01-25,5465,Male,Offered
36434,74.5,252539.0,2021-09-15,5467,Female,Offered
36447,160.0,609253.0,2021-09-03,5468,Female,Offered
36463,2.5,359.0,2020-01-07,5471,Female,Offered
36471,350.0,1140000.0,2021-08-23,5473,Male,Offered
36480,133.45,416612.0,2021-08-26,5475,Male,Offered
36491,150.0,673931.0,2021-11-05,5477,Male,Offered
36516,26.99,85661.0,2021-05-03,5480,Male,Offered
36519,26.0,51940.0,2021-07-14,5481,Female,Offered
36529,52.0,169323.0,2021-08-22,5482,Male,Offered
36530,0.14,41.0,2017-06-30,5483,Male,Offered
36533,77.88,309832.0,2021-12-21,5484,Male,Offered
36543,91.19,298103.0,2021-08-27,5485,Female,Offered
36563,184.0,539383.0,2021-08-09,5486,Male,Offered
36569,0.2,183.0,2018-02-02,5487,Male,Offered
36572,7.5,13285.0,2021-02-12,5488,Male,Offered
36573,36.0,65481.0,2021-03-09,5491,Male,Offered
36585,175.0,824595.0,2021-11-11,5492,Female,Offered
36607,145.0,418212.0,2021-09-24,5494,Male,Offered
36608,0.75,230.0,2019-07-07,5495,Male,Offered
36609,0.16,161.0,2018-01-06,5497,Female,Offered
36618,116.94,388417.0,2021-08-24,5498,Male,Offered
36621,0.21,269.0,2018-01-15,5499,Female,Offered
36629,94.99,236100.0,2021-08-04,5500,Male,Offered
36640,72.0,301622.0,2021-12-06,5510,Male,Offered
36645,5.0,6650.0,2021-01-21,5511,Male,Offered
36655,59.87,178109.0,2021-08-19,5512,Male,Offered
36669,14.6,26695.0,2021-02-14,5514,Male,Offered
36691,0.0,0.0,2022-01-25,5516,Female,Offered
36695,65.43,181694.0,2021-08-06,5517,Male,Offered
36709,134.99,437534.0,2021-08-28,5518,Female,Offered
36717,0.25,43.0,2019-09-01,5519,Male,Offered
36720,35.0,74325.0,2021-07-11,5521,Male,Offered
36729,100.0,249100.0,2021-04-26,5522,Female,Offered
36741,130.0,466479.0,2021-09-16,5523,Male,Offered
36758,160.0,381491.0,2022-01-23,5526,Male,Offered
36759,99.0,329140.0,2021-08-23,5527,Male,Offered
36760,27.0,46451.0,2021-02-23,5528,Male,Offered
36761,79.0,310874.0,2021-12-18,5529,Male,Offered
36767,58.97,235838.0,2021-12-21,5530,Male,Offered
36776,114.0,414481.0,2021-10-08,5532,Female,Offered
36777,3.0,783.0,2017-07-01,5534,Female,Offered
36793,41.5,108199.0,2021-08-05,5535,Female,Offered
36798,35.0,89213.0,2021-08-01,5536,Male,Offered
36802,18.0,38305.0,2021-06-28,5537,Male,Offered
36805,8.8,10850.0,2021-01-14,5538,Male,Offered
36818,74.0,291180.0,2021-12-28,5542,Male,Offered
36842,89.95,220342.0,2022-01-22,5543,Male,Offered
36858,42.0,136140.0,2021-08-15,5544,Male,Offered
36861,0.5,138.0,2017-07-03,5545,Female,Offered
36870,33.0,126150.0,2021-05-13,5546,Male,Offered
36902,139.0,485314.0,2021-10-06,5547,Male,Offered
36950,24.5,52746.0,2021-04-18,5549,Male,Offered
36953,69.0,133401.0,2021-05-23,5550,Female,Offered
36955,3.8,1349.0,2020-09-27,5552,Female,Offered
36976,120.0,431236.0,2021-10-10,5553,Female,Offered
36984,555.5,2450000.0,2021-12-07,5555,Male,Offered
36988,0.99,226.0,2020-07-02,5557,Male,Offered
37029,119.0,512819.0,2021-11-25,5558,Male,Offered
37032,26.0,38132.0,2021-02-26,5559,Male,Offered
37043,0.0,0.0,2021-07-30,5560,Female,Offered
37056,1.5,360.0,2020-07-11,5561,Male,Offered
37057,75.0,262526.0,2021-05-07,5563,Female,Offered
37063,3.4,1990.0,2020-12-14,5564,Female,Offered
37067,130.0,449680.0,2021-09-10,5565,Female,Offered
37084,269.69,961990.0,2021-10-06,5566,Female,Offered
37097,23.0,41361.0,2021-03-21,5567,Female,Offered
37099,50.0,195503.0,2021-05-09,5568,Male,Offered
37101,36.4,54336.0,2021-02-26,5569,Male,Offered
37106,0.25,41.0,2019-10-23,5570,Male,Offered
37107,500.0,106465.0,2020-05-20,5573,Zombie,Offered
37130,109.69,379535.0,2021-09-17,5575,Male,Offered
37131,0.1,59.0,2018-05-26,5576,Female,Offered
37173,0.0,0.0,2022-01-11,5577,Ape,Offered
37185,166.0,529251.0,2021-08-30,5579,Male,Offered
37186,0.45,78.0,2019-05-06,5580,Male,Offered
37229,110.11,269720.0,2022-01-26,5581,Male,Offered
37232,22.0,34612.0,2021-03-06,5582,Male,Offered
37239,8.0,1622.0,2020-05-27,5583,Male,Offered
37243,2.9,1023.0,2020-09-26,5584,Male,Offered
37244,1.0,269.0,2019-07-11,5585,Male,Offered
37264,124.95,307342.0,2022-01-26,5586,Male,Offered
37265,1.0,313.0,2019-07-08,5587,Female,Offered
37269,89.99,243298.0,2021-08-04,5588,Male,Offered
37279,1.49,362.0,2020-06-23,5589,Male,Offered
37294,7.95,2848.0,2020-09-30,5590,Female,Offered
37295,0.2,56.0,2017-06-30,5591,Female,Offered
37314,58.88,233041.0,2021-12-23,5592,Female,Offered
37315,0.29,78.0,2017-07-04,5593,Male,Offered
37321,95.0,435356.0,2021-11-30,5594,Female,Offered
37328,200.0,510068.0,2021-08-03,5601,Female,Offered
37332,23.5,76610.0,2021-05-03,5602,Male,Offered
37340,7.5,13894.0,2021-02-13,5603,Male,Offered
37355,25.0,62868.0,2021-04-26,5604,Male,Offered
37377,82.0,360715.0,2021-12-09,5605,Female,Offered
37434,93.0,419366.0,2021-12-02,5606,Male,Offered
37439,49.69,166002.0,2021-05-05,5609,Female,Offered
37465,99.0,475062.0,2021-11-09,5611,Female,Offered
37495,88.0,207950.0,2021-07-26,5612,Female,Offered
37498,55.0,98228.0,2021-03-15,5613,Male,Offered
37511,95.0,231369.0,2022-01-25,5614,Male,Offered
37513,1.76,358.0,2017-07-25,5616,Female,Offered
37515,333.0,1040000.0,2021-08-26,5617,Male,Offered
37516,29.0,112242.0,2021-05-14,5618,Male,Offered
37529,72.95,316774.0,2021-12-06,5619,Female,Offered
37538,95.0,230361.0,2022-01-23,5620,Female,Offered
37547,300.0,957702.0,2021-09-13,5621,Female,Offered
37549,0.0,0.0,2021-07-08,5622,Female,Offered
37551,0.66,195.0,2017-09-29,5623,Female,Offered
37553,0.19,56.0,2017-06-29,5624,Male,Offered
37559,119.0,429542.0,2021-10-08,5625,Male,Offered
37580,145.0,495403.0,2021-09-12,5626,Male,Offered
37587,450.0,1490000.0,2021-09-11,5627,Male,Offered
37594,119.0,493101.0,2021-10-21,5628,Female,Offered
37614,26.26,60127.0,2021-07-28,5629,Female,Offered
37615,307.0,1410000.0,2021-11-10,5630,Male,Offered
37626,80.0,234848.0,2021-05-02,5631,Male,Offered
37630,150.0,387145.0,2021-08-01,5632,Male,Offered
37633,0.3,83.0,2017-07-03,5633,Male,Offered
37642,400.0,1300000.0,2021-08-28,5634,Male,Offered
37659,94.67,295770.0,2021-08-26,5635,Male,Offered
37660,0.39,84.0,2017-07-21,5636,Female,Offered
37674,50.0,165786.0,2021-05-03,5637,Female,Offered
37681,16.5,33095.0,2021-02-20,5638,Female,Offered
37686,48.0,188276.0,2021-05-10,5639,Female,Offered
37712,53.0,140606.0,2021-08-02,5640,Female,Offered
37718,106.99,436672.0,2021-11-28,5642,Female,Offered
37724,25.0,35283.0,2021-02-02,5644,Female,Offered
37728,59.0,13866.0,2020-05-31,5645,Female,Offered
37751,108.99,365107.0,2021-08-23,5647,Male,Offered
37754,7.0,9301.0,2021-01-26,5648,Female,Offered
37755,199.0,332065.0,2021-03-28,5649,Female,Offered
37756,39.99,71539.0,2021-03-16,5651,Male,Offered
37757,0.1,59.0,2018-05-26,5652,Female,Offered
37769,118.88,396284.0,2021-09-19,5653,Male,Offered
37771,149.0,511191.0,2021-09-12,5654,Male,Offered
37788,29.99,59934.0,2021-07-13,5655,Male,Offered
37796,175.0,719355.0,2021-12-05,5656,Male,Offered
37798,27.5,110287.0,2021-05-14,5657,Male,Offered
37813,150.0,453817.0,2022-01-10,5659,Male,Offered
37818,44.0,124109.0,2021-08-06,5660,Female,Offered
37821,0.36,71.0,2017-07-19,5661,Male,Offered
37823,161.69,689095.0,2021-11-18,5662,Male,Offered
37826,94.99,306479.0,2021-08-26,5663,Male,Offered
37834,200.0,656750.0,2021-05-03,5664,Male,Offered
37839,0.0,0.0,2021-08-01,5665,Male,Offered
37861,21.9,51839.0,2021-07-07,5667,Female,Offered
37863,110.0,27936.0,2020-02-12,5668,Female,Offered
37866,1.9,564.0,2017-08-13,5670,Female,Offered
37871,420.69,1550000.0,2021-12-31,5671,Male,Offered
37889,199.0,670367.0,2021-10-04,5672,Female,Offered
37898,22.22,89110.0,2021-05-13,5674,Male,Offered
37915,80.25,265410.0,2021-08-14,5675,Female,Offered
37931,999.0,3210000.0,2021-08-31,5676,Male,Offered
37933,102.0,473837.0,2021-11-13,5677,Female,Offered
37934,0.0,0.0,2021-06-04,5678,Male,Offered
37945,44.99,75758.0,2021-03-28,5679,Female,Offered
37954,140.0,349189.0,2022-01-25,5680,Male,Offered
37970,68.9,177829.0,2021-08-01,5681,Female,Offered
37973,1.89,724.0,2020-08-26,5682,Female,Offered
37992,89.95,426412.0,2021-11-11,5683,Male,Offered
37998,44.0,15392.0,2020-09-06,5684,Female,Offered
37999,39.7,84987.0,2021-04-12,5685,Female,Offered
38030,99.0,246927.0,2022-01-25,5686,Male,Offered
38034,23.25,39767.0,2021-03-23,5687,Male,Offered
38035,0.5,134.0,2019-07-13,5688,Male,Offered
38036,0.49,130.0,2019-05-16,5689,Female,Offered
38048,240.0,533383.0,2021-07-03,5690,Male,Offered
38063,215.0,690922.0,2021-08-26,5691,Female,Offered
38068,2.84,644.0,2017-07-20,5692,Female,Offered
38094,34.5,65385.0,2021-07-15,5695,Male,Offered
38095,0.95,248.0,2020-02-22,5698,Female,Offered
38099,20.0,32238.0,2021-02-24,5701,Male,Offered
