,amount,amount_dols,date,id_cryptopunk,tipo,tr_type
9518,0.05,58.0,2018-01-11,5115,Female,Sold
9520,133.0,275528.0,2021-07-02,5116,Male,Sold
9522,23.99,58581.0,2021-07-30,5117,Female,Sold
9526,39.99,126744.0,2021-05-03,5120,Female,Sold
9529,4.88,4790.0,2021-01-11,5122,Male,Sold
9537,113.5,345371.0,2021-09-30,5123,Male,Sold
9546,84.91,216039.0,2022-01-26,5126,Male,Sold
9550,33.0,81163.0,2021-07-31,5128,Male,Sold
9551,65.0,266707.0,2021-12-24,5129,Female,Sold
9552,0.12,36.0,2017-10-26,5130,Male,Sold
9562,70.0,287349.0,2021-12-24,5131,Male,Sold
9563,65.0,124105.0,2021-03-13,5132,Female,Sold
9566,104.2,427287.0,2021-12-24,5133,Male,Sold
9567,0.25,259.0,2018-01-19,5134,Female,Sold
9568,0.55,64.0,2018-12-20,5135,Female,Sold
9573,22.47,46266.0,2021-07-23,5137,Female,Sold
9574,0.5,152.0,2017-06-24,5138,Male,Sold
9579,27.0,95027.0,2021-05-07,5140,Male,Sold
9580,0.18,46.0,2017-06-26,5141,Male,Sold
9583,155.0,503440.0,2021-08-28,5142,Male,Sold
9585,96.69,313657.0,2021-08-28,5144,Male,Sold
9589,64.99,250544.0,2021-12-17,5146,Male,Sold
9590,0.33,88.0,2017-07-05,5147,Male,Sold
9593,65.0,149427.0,2021-04-14,5148,Male,Sold
9598,1.0,218.0,2020-02-07,5149,Male,Sold
9600,47.98,139156.0,2021-08-06,5150,Male,Sold
9603,74.0,243472.0,2022-01-15,5151,Male,Sold
9608,1.88,686.0,2020-09-14,5153,Female,Sold
9614,14.5,26939.0,2021-02-18,5155,Male,Sold
9616,23.69,46595.0,2021-02-19,5156,Male,Sold
9618,94.0,312010.0,2021-08-23,5157,Male,Sold
9620,130.0,420976.0,2021-08-27,5158,Female,Sold
9623,13.0,17283.0,2021-01-24,5159,Female,Sold
9624,1.45,535.0,2020-09-11,5163,Male,Sold
9626,7.7,2865.0,2020-09-20,5164,Female,Sold
9627,0.15,46.0,2017-06-24,5167,Female,Sold
9633,217.0,925930.0,2021-11-24,5169,Male,Sold
9639,160.0,569571.0,2021-10-07,5175,Male,Sold
9644,65.0,211481.0,2021-08-23,5176,Male,Sold
9646,31.99,69402.0,2021-04-13,5177,Female,Sold
9649,2.49,957.0,2020-09-20,5179,Male,Sold
9650,0.2,59.0,2018-09-01,5180,Female,Sold
9652,0.5,54.0,2018-11-26,5181,Female,Sold
9659,140.0,425137.0,2021-09-30,5182,Male,Sold
9665,64.0,202566.0,2022-01-07,5183,Female,Sold
9666,110.0,362806.0,2021-08-16,5184,Male,Sold
9667,8.0,1610.0,2020-05-16,5186,Female,Sold
9671,2.13,741.0,2020-09-21,5188,Male,Sold
9679,21.75,44407.0,2021-07-12,5189,Male,Sold
9680,5.0,993.0,2020-05-21,5191,Female,Sold
9681,29.99,54493.0,2021-03-18,5192,Male,Sold
9683,97.77,442900.0,2021-11-03,5193,Female,Sold
9691,50.5,157475.0,2021-08-08,5194,Male,Sold
9694,1.2,420.0,2020-09-08,5195,Female,Sold
9700,78.0,261509.0,2021-08-24,5196,Male,Sold
9706,84.99,274102.0,2022-01-20,5197,Male,Sold
9712,66.7,250227.0,2022-01-02,5198,Male,Sold
9717,135.0,380726.0,2021-09-28,5201,Male,Sold
9721,143.5,459157.0,2021-08-29,5202,Female,Sold
9722,39.75,122300.0,2021-08-18,5207,Male,Sold
9724,136.9,428230.0,2021-08-27,5208,Female,Sold
9733,3.8,2274.0,2020-12-23,5209,Male,Sold
9738,59.95,193529.0,2022-01-07,5210,Female,Sold
9743,61.9,252869.0,2021-12-24,5212,Female,Sold
9746,30.0,59803.0,2021-07-13,5213,Male,Sold
9747,102.69,250097.0,2022-01-25,5214,Male,Sold
9750,24.5,46236.0,2021-03-13,5215,Male,Sold
9752,0.0,0.0,2021-07-30,5217,Ape,Sold
9759,7.75,14014.0,2021-02-14,5220,Male,Sold
